date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,62079185.0,148.7663,149.5,147.41,151.05,147.2,430312,,
2024-01-02,64902029.0,139.6752,144.28,138.58,144.4,137.43,558982,,
2024-01-03,61988583.0,135.2871,135.71,135.32,137.43,133.7413,491380,,
2024-01-04,58610286.0,136.4357,134.3,136.01,137.7,134.0,421089,,
2024-01-05,69657676.0,139.0252,136.78,138.58,141.01,136.4377,443633,139.18,
2024-01-08,71756913.0,144.8903,140.36,146.18,147.15,140.15,508715,138.93400000000003,
2024-01-09,67875666.0,148.0984,145.95,149.26,149.86,145.08,489981,141.07,
2024-01-10,56951243.0,148.2975,150.07,148.54,150.88,146.65,413271,143.714,
2024-01-11,62764597.0,146.8616,148.52,148.02,150.38,143.69,460051,146.11599999999999,
2024-01-12,48293089.0,146.5384,148.04,146.56,148.75,145.0,338848,147.71200000000002,
2024-01-16,112711434.0,156.6853,150.36,158.74,159.715,149.98,881877,150.224,
2024-01-17,104084985.0,157.9065,158.45,160.17,160.64,154.4,770014,152.406,
2024-01-18,131864888.0,163.1503,166.2,162.67,168.6,158.22,951913,155.232,
2024-01-19,140367915.0,168.3515,165.8,174.23,174.25,162.2,982893,160.474,
2024-01-22,122973822.0,168.2782,174.39,168.18,174.72,164.15,1000196,164.798,
2024-01-23,76830455.0,167.8756,166.5,168.42,169.6299,164.27,598013,166.73399999999998,
2024-01-24,125516387.0,177.4052,172.55,178.29,180.58,170.56,968835,170.358,
2024-01-25,127171448.0,181.234,183.41,180.33,184.92,177.63,1031686,173.89000000000001,
2024-01-26,107381172.0,177.7887,175.29,177.25,181.23,174.15,830791,174.494,
2024-01-29,89384452.0,176.4488,178.77,177.83,178.885,174.4,728174,176.42399999999998,157.0285
2024-01-30,122265677.0,173.1176,176.13,172.06,178.48,169.52,1063617,177.152,158.26100000000002
2024-01-31,133157264.0,167.1219,165.74,167.69,171.3,162.5602,1097272,175.032,159.71650000000002
2024-02-01,91576685.0,168.7462,169.27,170.48,171.14,165.86,681908,173.06199999999998,161.4745
2024-02-02,82134266.0,176.9154,173.79,177.66,179.0,173.05,754735,173.144,163.557
2024-02-05,76349244.0,174.689,179.09,174.23,180.01,171.11,625350,172.424,165.3395
2024-02-06,68854127.0,168.1424,173.15,167.88,173.88,165.5,618796,171.588,166.42450000000002
2024-02-07,53665418.0,170.4948,169.47,170.94,172.97,168.2,443334,172.238,167.50849999999997
2024-02-08,43385275.0,170.165,170.33,169.35,172.17,168.6,403893,172.012,168.549
2024-02-09,56375713.0,172.2819,171.0,172.48,175.1,168.6601,466068,170.97599999999997,169.772
2024-02-12,58177053.0,174.3909,172.68,171.91,177.405,170.67,548333,170.512,171.0395
2024-02-13,63071311.0,170.3399,167.94,171.54,173.17,164.3,601190,171.244,171.67950000000002
2024-02-14,57402522.0,176.4646,173.47,178.7,178.74,172.88,556501,172.796,172.606
2024-02-15,51126437.0,177.0949,179.14,176.76,180.5,175.26,474227,174.27799999999996,173.3105
2024-02-16,53940342.0,175.5961,177.45,173.87,180.3301,173.25,490114,174.55599999999998,173.2925
2024-02-20,66549992.0,165.0389,171.14,165.69,171.81,162.0,697006,173.31199999999998,173.168
2024-02-21,48774556.0,163.7694,162.74,164.29,164.9,161.81,483937,171.862,172.9615
2024-02-22,100684733.0,180.4102,173.2,181.86,183.83,172.0,958680,172.494,173.14000000000001
2024-02-23,69207367.0,177.5534,181.86,176.52,183.8,174.55,661272,172.446,172.9495
2024-02-26,45435093.0,176.7206,178.78,176.01,179.84,174.81,437287,172.874,172.8875
2024-02-27,43665241.0,176.7669,175.92,178.0,178.46,172.49,417003,175.33599999999998,172.896
2024-02-28,35914414.0,175.6345,176.25,176.54,176.84,173.59,354430,177.786,173.11999999999998
2024-02-29,105538483.0,188.059,179.82,192.53,193.0,179.82,938546,179.92000000000002,174.362
2024-03-01,103820773.0,199.7643,197.91,202.64,202.72,195.42,961935,185.144,175.96999999999997
2024-03-04,86835338.0,207.6804,205.16,205.36,211.01,203.5,836663,191.014,177.355
2024-03-05,65407112.0,202.4287,200.5,205.13,205.33,199.15,664027,196.44,178.9
2024-03-06,86686987.0,210.8289,210.43,210.63,214.8109,207.32,776247,203.258,181.03749999999997
2024-03-07,63869038.0,211.0922,212.52,211.38,213.83,208.22,620517,207.02799999999996,183.0595
2024-03-08,120815222.0,214.2766,213.41,207.39,227.3,205.6,1110430,207.97799999999998,184.96149999999997
2024-03-11,73098616.0,199.8563,203.01,198.39,203.55,196.701,778013,206.58399999999997,186.257
2024-03-12,68951657.0,199.9399,200.52,202.76,202.8499,194.27,664420,206.10999999999999,187.7995
2024-03-13,70526879.0,195.2101,198.73,194.79,198.83,192.7001,703703,202.94199999999998,188.962
2024-03-14,84490526.0,189.7564,192.92,187.06,196.93,184.03,757436,198.07799999999997,189.38
2024-03-15,95289509.0,191.1237,184.83,191.06,193.7999,184.48,726524,194.81199999999998,190.09499999999997
2024-03-18,59306865.0,191.244,193.285,190.65,193.5,188.05,537242,193.26399999999998,190.934
