date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,39823204.0,152.3275,153.1,151.94,153.89,151.03,353441,,
2024-01-02,47339424.0,149.8527,151.54,149.93,152.38,148.39,476433,,
2024-01-03,49425495.0,149.4058,149.2,148.47,151.05,148.33,416955,,
2024-01-04,56039807.0,145.416,145.59,144.57,147.38,144.05,541342,,
2024-01-05,45153147.0,145.4513,144.69,145.24,146.59,144.53,380386,148.03,
2024-01-08,46757053.0,148.3238,146.74,149.1,149.4,146.15,410733,147.46200000000002,
2024-01-09,43812567.0,150.6311,148.33,151.37,151.71,148.21,403026,147.75,
2024-01-10,44421830.0,153.4523,152.06,153.73,154.42,151.881,430517,148.802,
2024-01-11,49072691.0,155.0181,155.04,155.18,157.17,153.12,468131,150.924,
2024-01-12,40484155.0,154.8238,155.39,154.62,156.2,154.01,351914,152.8,
2024-01-16,41384636.0,153.1343,153.53,153.16,154.99,152.15,396071,153.612,
2024-01-17,34953363.0,151.2287,151.49,151.71,152.15,149.91,354674,153.68,
2024-01-18,37850245.0,153.1334,152.77,153.5,153.775,151.82,344845,153.634,
2024-01-19,51651628.0,154.6114,153.83,155.34,155.76,152.74,408186,153.666,
2024-01-22,43687468.0,154.9418,156.89,154.78,157.05,153.9,427992,153.698,
2024-01-23,37986039.0,155.3239,154.85,156.02,156.21,153.93,353578,154.26999999999998,
2024-01-24,48547315.0,157.4001,157.8,156.87,158.51,156.48,435422,155.302,
2024-01-25,43638592.0,157.1518,156.95,157.75,158.505,154.5501,455334,156.152,
2024-01-26,51047353.0,159.1848,158.42,159.12,160.72,157.91,426676,156.908,
2024-01-29,45270385.0,160.2769,159.34,161.26,161.29,158.9,447373,158.204,153.183
2024-01-30,45207430.0,159.4989,160.7,159.0,161.73,158.49,458714,158.8,153.536
2024-01-31,50284371.0,156.2692,157.0,155.2,159.01,154.81,532783,158.46599999999998,153.79950000000002
2024-02-01,76542419.0,160.6891,155.87,159.28,159.76,155.62,742980,158.772,154.33999999999997
2024-02-02,117218313.0,170.9357,169.19,171.81,172.5,167.33,1134751,161.31,155.702
2024-02-05,55081297.0,169.5243,170.2,170.31,170.55,167.7,572539,163.11999999999998,156.9555
2024-02-06,42505518.0,168.8813,169.39,169.15,170.71,167.65,406692,165.15,157.958
2024-02-07,47174060.0,170.181,169.48,170.53,170.88,168.94,452958,168.216,158.916
2024-02-08,42316454.0,170.2667,169.65,169.84,171.43,168.88,399952,170.32800000000003,159.72150000000002
2024-02-09,56985986.0,173.3948,170.9,174.45,175.0,170.5803,549269,170.856,160.685
2024-02-12,51050440.0,173.2975,174.8,172.34,175.39,171.54,512028,171.262,161.571
2024-02-13,56345122.0,168.878,167.73,168.64,170.95,165.75,572688,171.16000000000003,162.345
2024-02-14,42815544.0,170.0334,169.21,170.98,171.21,168.28,457093,171.25,163.3085
2024-02-15,49855196.0,169.4354,170.58,169.8,171.17,167.59,521440,171.24200000000002,164.1235
2024-02-16,48107744.0,169.1823,168.74,169.51,170.42,167.17,468195,170.254,164.832
2024-02-20,41980326.0,166.9099,167.83,167.08,168.71,165.74,478320,169.202,165.447
2024-02-21,44575623.0,168.546,168.94,168.59,170.23,167.14,466026,169.192,166.0755
2024-02-22,55392354.0,173.5407,173.1,174.58,174.8,171.77,547144,169.91199999999998,166.96099999999998
2024-02-23,59715243.0,174.7441,174.28,174.99,175.75,173.7,467172,170.95,167.823
2024-02-26,44368614.0,174.9955,175.7,174.73,176.37,174.26,428536,171.994,168.6035
2024-02-27,31141732.0,173.7541,174.075,173.54,174.62,172.86,357527,173.286,169.21750000000003
2024-02-28,28180482.0,173.319,172.44,173.16,174.05,172.27,328701,174.2,169.9255
2024-02-29,53805359.0,175.7037,173.01,176.76,177.22,172.85,446966,174.63600000000002,171.00349999999997
2024-03-01,31981152.0,177.8612,176.75,178.22,178.725,176.07,406700,175.28199999999998,171.9505
2024-03-04,37381520.0,178.5391,177.53,177.58,180.14,177.49,443556,175.852,172.239
2024-03-05,37228343.0,174.4669,176.93,174.12,176.93,173.303,448860,175.96800000000002,172.4295
2024-03-06,32090926.0,174.3209,175.54,173.51,176.46,173.26,389497,176.038,172.6475
