date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,12492881.0,50.4581,50.45,50.52,50.585,50.22,85711,,
2024-01-02,20242939.0,50.5227,50.49,50.51,50.86,50.25,125894,,
2024-01-03,20303875.0,50.4346,50.17,50.51,50.68,49.941,130034,,
2024-01-04,18134121.0,50.1657,50.44,50.08,50.51,49.99,110786,,
2024-01-05,13989287.0,50.106,50.18,50.09,50.365,49.865,91876,50.342,
2024-01-08,18070293.0,50.3657,49.75,50.46,50.5,49.69,99585,50.33,
2024-01-09,20489210.0,49.7876,49.96,49.91,50.035,49.43,150015,50.21,
2024-01-10,15174185.0,50.0971,50.0,50.24,50.32,49.82,109331,50.156,
2024-01-11,16458252.0,50.3352,50.45,50.44,50.5,50.04,108357,50.227999999999994,
2024-01-12,18785708.0,50.4687,50.5,50.34,50.815,50.295,108244,50.278,
2024-01-16,17015925.0,50.4687,50.25,50.59,50.59,50.07,120961,50.304,
2024-01-17,17370635.0,50.1874,50.24,50.3,50.43,49.91,97615,50.382000000000005,
2024-01-18,18487542.0,50.6766,50.3,50.75,50.8,50.28,105455,50.484,
2024-01-19,23015258.0,51.1941,50.75,51.27,51.385,50.73,125029,50.65,
2024-01-22,20298721.0,51.5628,51.55,51.57,51.78,51.41,98322,50.896,
2024-01-23,15044327.0,51.6825,51.39,51.76,51.82,51.3,95954,51.13,
2024-01-24,19458515.0,51.4077,52.0,51.31,52.0,51.205,121605,51.331999999999994,
2024-01-25,18936642.0,52.2403,51.75,52.33,52.56,51.75,129079,51.648,
2024-01-26,13160315.0,52.229,52.42,52.14,52.62,51.99,91999,51.822,
2024-01-29,13492409.0,52.1859,51.842,52.29,52.385,51.83,82737,51.965999999999994,50.8705
2024-01-30,14322137.0,52.1738,52.3,52.24,52.415,51.995,91163,52.062,50.9565
2024-01-31,29311787.0,50.4774,51.85,50.18,51.94,50.07,170189,51.836,50.940000000000005
2024-02-01,20635673.0,50.16,50.23,50.18,50.46,49.82,137809,51.406000000000006,50.923500000000004
2024-02-02,20533102.0,50.0872,50.14,50.18,50.38,49.615,127113,51.013999999999996,50.9285
2024-02-05,19601985.0,49.489,49.94,49.51,50.15,49.26,130958,50.458000000000006,50.8995
2024-02-06,19265797.0,50.1196,50.31,49.98,50.61,49.785,132869,50.006,50.8755
2024-02-07,16794364.0,49.775,50.3,49.77,50.35,49.46,116366,49.924,50.8685
2024-02-08,19598985.0,49.8545,49.9,49.95,49.99,49.55,122779,49.878,50.854
2024-02-09,24076857.0,50.0806,49.93,50.13,50.26,49.63,148812,49.868,50.838499999999996
2024-02-12,19046333.0,49.9608,50.03,49.99,50.2,49.525,124802,49.964,50.821
2024-02-13,23633712.0,49.4488,49.62,49.64,49.94,49.14,159218,49.896,50.7735
2024-02-14,31176442.0,49.8209,49.57,50.28,50.34,49.5518,210540,49.998000000000005,50.7725
2024-02-15,42766544.0,49.0787,48.255,49.06,49.685,48.19,278602,49.82000000000001,50.688
2024-02-16,24912312.0,48.6395,48.75,48.44,49.075,48.39,149455,49.482000000000006,50.5465
2024-02-20,26402463.0,48.269,47.97,48.28,48.47,47.85,133940,49.14,50.382
