date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,18733017.0,139.6106,139.63,139.69,140.36,138.78,226476,,
2024-01-02,23711220.0,137.7743,138.55,138.17,139.45,136.48,313941,,
2024-01-03,24212147.0,138.7415,137.25,138.92,139.63,137.08,271651,,
2024-01-04,27137735.0,137.2931,138.42,136.39,139.16,136.35,278803,,
2024-01-05,22513854.0,135.9907,136.745,135.73,137.1558,135.15,254931,137.78,
2024-01-08,21403982.0,138.0736,136.29,138.84,139.01,136.26,251454,137.60999999999999,
2024-01-09,24759598.0,140.4414,138.5,140.95,141.485,138.15,309524,138.166,
2024-01-10,21320203.0,142.0843,141.0,142.28,143.0,140.91,257692,138.838,
2024-01-11,24008722.0,142.322,143.49,142.08,145.22,140.635,318686,139.976,
2024-01-12,18785514.0,142.6702,142.67,142.65,143.195,141.82,232689,141.35999999999999,
2024-01-16,22670467.0,142.5747,142.0,142.49,144.35,141.45,302830,142.09,
2024-01-17,20968649.0,140.7199,141.345,141.47,141.84,138.9,273714,142.19400000000002,
2024-01-18,25746417.0,143.2228,142.05,143.48,144.21,141.99,307170,142.43400000000003,
2024-01-19,34271867.0,145.8214,144.74,146.38,146.45,144.38,350958,143.294,
2024-01-22,32200369.0,146.8355,147.1,145.99,148.39,145.84,351853,143.96200000000002,
2024-01-23,21636129.0,146.6585,145.89,147.04,147.182,145.5,237679,144.872,
2024-01-24,25233450.0,149.0058,148.54,148.7,149.855,148.1,326217,146.31799999999998,
2024-01-25,29149069.0,151.6479,150.065,151.87,153.05,149.54,398589,147.996,
2024-01-26,26115494.0,151.9714,151.1,152.185,152.535,151.01,317440,149.15699999999998,
2024-01-29,27784259.0,152.7426,152.06,153.51,153.78,151.43,333036,150.661,143.44075
2024-01-30,36331833.0,150.8987,152.8,151.46,153.62,151.185,486597,151.54500000000002,144.02925
2024-01-31,71910044.0,141.5603,143.62,140.1,144.0,139.87,909209,149.825,144.12574999999998
2024-02-01,40466549.0,141.6164,142.12,141.16,143.06,140.79,479751,147.683,144.23775
2024-02-02,62499574.0,140.0231,139.26,142.38,142.62,136.5,745391,145.722,144.53725
2024-02-05,38505405.0,143.9647,142.82,143.68,145.47,142.78,491155,143.756,144.93474999999998
2024-02-06,29128201.0,144.0628,144.65,144.1,145.36,143.19,360453,142.284,145.19774999999998
2024-02-07,25208862.0,145.0906,144.76,145.54,145.615,143.925,314951,143.37199999999999,145.42725000000002
2024-02-08,22563764.0,145.833,145.83,145.91,146.33,145.105,290435,144.32199999999997,145.60875000000001
2024-02-09,26829504.0,148.4581,146.68,149.0,149.44,146.18,335476,145.64600000000002,145.95475000000002
2024-02-12,21564085.0,148.1085,148.42,147.53,149.335,147.37,297772,146.416,146.19875
2024-02-13,27837730.0,145.055,144.92,145.14,146.67,143.69,369658,146.624,146.33125
2024-02-14,22704166.0,145.2894,146.08,145.94,146.52,144.094,316585,146.704,146.55475
2024-02-15,37590695.0,142.0727,143.14,142.77,143.52,140.46,492609,146.07599999999996,146.51925
