date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,2526169.0,163.4694,163.75,163.55,164.18,162.83,38699,,
2024-01-02,3825044.0,161.6134,162.83,161.5,163.29,160.46,62724,,
2024-01-03,4086065.0,160.5282,161.0,160.1,161.73,160.08,52156,,
2024-01-04,3212004.0,161.1596,160.22,160.86,161.81,160.17,50459,,
2024-01-05,4199504.0,159.3952,159.91,159.16,160.55,158.67,59314,161.03400000000002,
2024-01-08,3321698.0,160.29,158.69,161.14,161.216,157.885,52304,160.552,
2024-01-09,2617186.0,160.0753,160.0,160.08,160.4837,159.51,53832,160.268,
2024-01-10,2967852.0,160.8399,160.28,161.23,161.34,159.74,44998,160.494,
2024-01-11,3778395.0,161.6549,161.02,162.16,162.23,160.29,50910,160.754,
2024-01-12,4958261.0,164.8162,162.97,165.8,165.98,162.355,72352,162.082,
2024-01-16,4869635.0,166.4729,165.8,166.96,167.25,165.34,70020,163.246,
2024-01-17,4288604.0,166.4975,166.79,166.08,167.82,165.495,66939,164.446,
2024-01-18,3776990.0,166.4366,166.49,166.84,166.99,165.04,57006,165.568,
2024-01-19,6929079.0,170.7205,170.59,171.48,171.5791,169.18,94966,167.43200000000002,
2024-01-22,4925964.0,173.0513,172.82,172.83,174.45,172.4,75518,168.83800000000002,
2024-01-23,3983461.0,173.6076,172.9,173.94,174.02,172.48,66605,170.23399999999998,
2024-01-24,9097827.0,175.7913,174.76,173.93,174.86,172.9,118375,171.804,
2024-01-25,29596239.0,192.1429,184.96,190.43,196.9,184.83,341526,176.522,
2024-01-26,9895941.0,188.0644,191.31,187.42,192.3896,186.16,131057,179.70999999999998,
2024-01-29,6107908.0,187.0593,187.46,187.14,189.46,186.05,78535,182.572,168.63150000000002
2024-01-30,4575058.0,187.6244,187.71,187.87,188.65,186.77,66581,185.358,169.8475
2024-01-31,8876055.0,184.4064,187.05,183.66,187.65,183.14,88728,187.304,170.95549999999997
2024-02-01,4669444.0,186.0972,183.63,186.9,187.51,182.71,71106,186.598,172.2955
2024-02-02,4055411.0,186.3166,187.1,185.79,187.39,185.615,63603,186.272,173.54199999999997
2024-02-05,4379602.0,183.8955,185.51,183.42,185.78,183.255,70145,185.528,174.755
2024-02-06,3338196.0,183.6224,183.55,183.41,184.68,183.04,54331,184.63600000000002,175.86849999999998
2024-02-07,4841188.0,183.4275,183.34,183.74,184.02,182.625,62831,184.652,177.0515
2024-02-08,5161185.0,183.5251,182.63,184.36,184.55,181.49,67356,184.144,178.20800000000003
2024-02-09,5064641.0,186.2083,184.44,186.34,187.18,183.85,74127,184.254,179.41699999999997
2024-02-12,4724021.0,185.7743,185.9,186.16,186.48,184.03,67365,184.802,180.435
2024-02-13,4290453.0,183.674,184.28,183.7,184.77,182.36,64557,184.85999999999999,181.272
2024-02-14,3173391.0,183.3428,185.0,183.57,185.0,182.26,54534,184.82599999999996,182.1465
2024-02-15,4714301.0,185.9832,183.62,186.87,186.98,183.62,65802,185.32800000000003,183.148
2024-02-16,4842840.0,187.6317,186.63,187.64,188.95,185.9452,63984,185.58800000000002,183.956
2024-02-20,4247181.0,184.7157,187.64,183.44,188.77,183.06,76722,185.04399999999998,184.4865
2024-02-21,4728473.0,180.366,182.56,179.7,183.03,178.75,82135,184.244,184.7745
