date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,29288707.0,50.2526,50.3,50.25,50.5699,49.77,184208,,
2024-01-02,45905728.0,48.083,49.2,47.8,49.38,47.4527,303326,,
2024-01-03,35858434.0,47.134,47.1,47.05,47.81,46.8,238139,,
2024-01-04,47797812.0,46.6724,45.715,46.87,47.16,45.24,288091,,
2024-01-05,34344031.0,47.0918,47.03,46.89,47.83,46.635,208456,47.772,
2024-01-08,42135127.0,48.2709,47.07,48.45,48.76,46.97,229936,47.412,
2024-01-09,30097005.0,48.1243,48.01,48.05,48.56,47.795,183887,47.461999999999996,
2024-01-10,31480186.0,47.4564,48.24,47.47,48.3,46.94,205975,47.546,
2024-01-11,31707881.0,47.3524,47.44,47.64,47.84,46.73,198890,47.7,
2024-01-12,27587902.0,47.0741,47.6,47.12,47.67,46.61,190554,47.746,
2024-01-16,43720666.0,46.9221,46.98,47.06,47.22,46.38,228546,47.467999999999996,
2024-01-17,33488015.0,45.9744,46.4151,46.06,46.4151,45.65,233926,47.07000000000001,
2024-01-18,46681348.0,46.87,47.03,46.74,47.57,46.17,294462,46.924,
2024-01-19,55979796.0,47.9479,47.0,48.15,48.76,46.44,304874,47.025999999999996,
2024-01-22,45639521.0,48.2112,48.85,48.22,49.17,47.64,267744,47.245999999999995,
2024-01-23,37224140.0,48.3655,48.12,48.89,48.94,47.32,234631,47.612,
2024-01-24,49375834.0,49.1281,49.17,49.09,49.77,48.265,329459,48.218,
2024-01-25,84845086.0,48.881,50.0,49.55,50.3,48.97,512972,48.78,
2024-01-26,127665287.0,43.8693,44.18,43.65,45.41,43.35,731510,47.88,
2024-01-29,51790863.0,43.3881,43.71,43.84,43.99,42.81,317389,47.004000000000005,47.442
2024-01-30,47958762.0,43.1032,43.67,42.92,43.82,42.89,287526,45.809999999999995,47.0755
2024-01-31,51584247.0,42.9291,42.57,43.08,43.785,42.36,342612,44.608,46.8395
2024-02-01,38819855.0,43.1271,43.15,43.36,43.57,42.485,266453,43.37,46.655
2024-02-02,53683500.0,42.41,43.0,42.6,43.14,41.6,336021,43.160000000000004,46.4415
2024-02-05,28890264.0,42.8105,42.62,42.77,43.15,42.425,210306,42.946,46.2355
2024-02-06,34068216.0,42.5728,42.7,42.74,42.78,42.14,200282,42.910000000000004,45.95
2024-02-07,34269246.0,42.8095,42.89,42.78,43.095,42.55,186740,42.85,45.6865
2024-02-08,33206470.0,42.5717,42.72,42.5,42.97,42.33,180804,42.678000000000004,45.438
2024-02-09,51192958.0,43.1489,42.55,43.31,43.52,42.395,249047,42.82000000000001,45.2215
2024-02-12,51107349.0,44.2384,43.39,44.03,45.04,43.32,275280,43.072,45.06699999999999
2024-02-13,36622233.0,43.1827,43.0,43.16,43.63,42.76,241636,43.156,44.872
2024-02-14,36186233.0,44.0342,43.82,44.19,44.29,43.39,197145,43.438,44.778499999999994
2024-02-15,44024507.0,44.4745,44.755,44.05,45.27,44.02,258411,43.748000000000005,44.644
2024-02-16,29975301.0,43.6142,44.03,43.51,44.2199,43.12,210725,43.788,44.412
2024-02-20,61514136.0,44.2306,44.26,44.52,45.17,43.42,323844,43.886,44.227
2024-02-21,57714970.0,43.6727,44.48,43.47,44.69,43.08,355260,43.948,43.956
2024-02-22,62809318.0,43.1521,44.68,42.98,44.68,42.53,407427,43.706,43.6505
2024-02-23,33810714.0,43.0537,43.125,42.99,43.51,42.66,217782,43.49400000000001,43.3225
2024-02-26,27035379.0,43.1012,43.5,42.99,43.68,42.82,201968,43.39,43.2895
2024-02-27,25126372.0,42.7982,43.25,42.73,43.265,42.51,189595,43.032000000000004,43.233999999999995
2024-02-28,26928470.0,42.1107,42.44,41.99,42.45,41.91,189753,42.736,43.1875
2024-02-29,48875120.0,42.9154,42.37,43.05,43.15,42.3551,208400,42.75,43.18599999999999
2024-03-01,41426072.0,43.7868,43.41,43.82,44.2698,43.13,255179,42.916,43.208999999999996
2024-03-04,59990811.0,45.5599,44.27,45.61,46.61,43.85,411003,43.44,43.359500000000004
2024-03-05,56655135.0,43.4438,44.56,43.16,44.8675,42.69,349216,43.525999999999996,43.379
2024-03-06,52652045.0,44.5203,43.93,44.51,45.505,43.555,329587,44.03,43.467499999999994
2024-03-07,50378153.0,46.0011,45.55,46.15,46.4199,45.18,337123,44.65,43.635999999999996
2024-03-08,54916599.0,44.8175,46.44,44.0,46.6277,44.0,390419,44.686,43.711
2024-03-11,35050986.0,44.5856,43.87,44.86,44.93,43.66,261034,44.535999999999994,43.7885
2024-03-12,31795832.0,45.0704,45.06,45.24,45.265,44.46,221078,44.952,43.849000000000004
2024-03-13,53195932.0,43.7718,44.51,43.23,44.98,43.2,299132,44.696,43.8525
2024-03-14,38100016.0,42.8202,43.23,42.75,43.35,42.51,250473,44.016,43.7805
2024-03-15,66952857.0,42.6771,42.45,42.64,43.15,42.35,240471,43.74399999999999,43.709999999999994
2024-03-18,27668282.0,42.8313,43.09,42.71,43.38,42.595,177909,43.314,43.67
2024-03-19,34672950.0,41.9197,42.25,42.05,42.29,41.44,231907,42.676,43.546499999999995
2024-03-20,74864992.0,42.116,42.99,42.2,43.01,41.41,464505,42.47,43.483
2024-03-21,50807592.0,42.8319,42.99,42.42,43.6,42.32,301508,42.404,43.455
2024-03-22,28503057.0,42.4641,42.25,42.57,42.8,42.09,192075,42.39,43.434000000000005
2024-03-25,47276531.0,41.6173,40.89,41.83,42.215,40.57,313037,42.214,43.376
2024-03-26,39109651.0,42.0106,41.95,41.99,42.265,41.655,224142,42.202,43.339
2024-03-27,51017828.0,43.3502,42.54,43.77,43.83,42.5,309549,42.516000000000005,43.428
2024-03-28,54204194.0,44.2171,43.76,44.17,44.6,43.71,332512,42.866,43.484
2024-04-01,31712593.0,44.5926,44.29,44.52,45.41,44.18,214197,43.256,43.519
2024-04-02,32748360.0,43.7468,43.925,43.94,44.08,43.5,239755,43.678,43.435500000000005
2024-04-03,83717976.0,40.7846,41.4,40.33,41.65,40.22,519004,43.346000000000004,43.294
2024-04-04,57307233.0,40.1995,40.59,39.73,40.7798,39.7,347498,42.538,43.055
