date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,14987092.0,354.5359,358.99,353.96,360.0,351.82,215677,,
2024-01-02,19042152.0,344.8294,351.32,346.29,353.16,340.01,304920,,
2024-01-03,15451133.0,345.1354,344.98,344.47,347.95,343.175,218247,,
2024-01-04,12099895.0,346.4744,344.5,347.12,348.1499,343.3987,172395,,
2024-01-05,13750912.0,351.0891,346.99,351.95,353.5,346.2601,215312,348.758,
2024-01-08,13890222.0,356.1434,354.7,358.66,358.98,352.05,219790,349.698,
2024-01-09,13463871.0,358.1433,356.4,357.43,360.64,355.36,196368,351.92600000000004,
2024-01-10,22117206.0,368.959,360.17,370.47,372.94,359.08,346109,357.12600000000003,
2024-01-11,17205385.0,367.968,372.13,369.67,372.78,362.93,274760,361.6360000000001,
2024-01-12,19310046.0,374.3387,370.155,374.49,377.06,369.54,244162,366.14400000000006,
2024-01-16,15306885.0,369.5988,373.65,367.46,375.61,367.23,253891,367.904,
2024-01-17,12724779.0,365.4212,366.3,368.37,368.54,358.61,203952,370.092,
2024-01-18,16354332.0,374.7238,371.49,376.13,376.85,370.95,221387,371.224,
2024-01-19,21670806.0,382.1352,379.0,383.45,384.36,377.97,270983,373.97999999999996,
2024-01-22,17680454.0,384.1798,387.95,381.78,390.3525,381.1601,265063,375.438,
2024-01-23,15506096.0,385.2313,384.615,385.2,388.38,382.075,227459,378.986,
2024-01-24,15604285.0,392.2263,390.0,390.7,396.15,387.81,264915,383.45199999999994,
2024-01-25,15091080.0,392.6941,390.17,393.18,395.49,385.66,244036,386.86199999999997,
2024-01-26,13159290.0,394.7271,394.35,394.14,396.79,391.5908,214391,389.0,
2024-01-29,18742433.0,399.7678,394.985,401.02,402.93,393.1,278755,392.848,370.79699999999997
2024-01-30,18614727.0,402.3054,403.59,400.06,406.36,399.57,302238,395.82,373.102
2024-01-31,20180817.0,392.7801,389.0,390.14,398.0,387.1,335046,395.70799999999997,375.2945
2024-02-01,29727051.0,411.445,393.94,394.78,400.5,393.05,498977,396.02799999999996,377.81
2024-02-02,84707646.0,473.7256,459.6,474.99,485.96,453.01,1202622,412.198,384.20349999999996
2024-02-05,40832376.0,463.4454,469.88,459.41,471.9,459.22,621255,423.87600000000003,389.5765
2024-02-06,21655214.0,457.603,464.0,454.72,467.12,453.0,345659,434.808,394.3795
2024-02-07,23065994.0,467.8721,458.0,469.59,471.52,456.1773,348014,450.69800000000004,399.9875
2024-02-08,18815097.0,468.4779,468.32,470.0,470.59,465.03,292513,465.742,404.964
2024-02-09,18413137.0,469.7126,472.95,468.11,473.59,467.465,291819,464.366,409.88599999999997
2024-02-12,19381963.0,473.0294,468.19,468.9,479.145,466.58,320857,466.264,414.6065
2024-02-13,20916602.0,462.0548,456.87,460.12,467.89,455.09,305226,467.34400000000005,419.23949999999996
2024-02-14,16858401.0,469.9091,467.93,473.28,474.11,466.0901,266637,468.082,424.485
2024-02-15,24212326.0,482.9487,475.28,484.03,488.62,472.22,365753,470.8879999999999,429.88
2024-02-16,23324620.0,473.9798,478.11,473.32,478.96,469.21,364856,471.93,434.37350000000004
2024-02-20,18015523.0,470.7077,469.715,471.75,476.18,466.56,281914,472.5,438.872
2024-02-21,12977050.0,466.5231,466.5,468.03,469.0,461.79,229873,474.082,443.0134999999999
2024-02-22,21625805.0,485.5276,480.24,486.13,489.99,476.0618,385784,476.65199999999993,447.785
2024-02-23,18374286.0,487.0397,488.05,484.03,494.3599,482.3482,299145,476.65199999999993,452.3275
2024-02-26,12101415.0,483.07,483.47,481.74,486.14,480.6,217808,478.33599999999996,456.7075000000001
2024-02-27,10809595.0,484.7694,479.975,487.05,487.27,479.92,200534,481.396,461.009
2024-02-28,12715486.0,485.9821,485.0,484.02,491.05,482.75,224438,484.59400000000005,465.207
2024-02-29,17732045.0,489.0946,488.44,490.13,491.7,482.61,233416,485.39399999999995,470.20649999999995
2024-03-01,15884882.0,500.4154,492.11,502.3,504.25,491.85,319523,489.04799999999994,475.5825000000001
2024-03-04,12324141.0,500.2935,503.0,498.19,504.42,496.42,272883,492.338,476.74249999999995
2024-03-05,15325299.0,491.0001,495.0,490.22,495.58,487.89,290950,492.97200000000004,478.283
2024-03-06,11757925.0,497.536,497.63,496.09,502.97,494.292,236857,495.38599999999997,480.35150000000004
2024-03-07,18586437.0,511.1997,503.28,512.19,519.85,501.38,341225,499.79799999999994,482.4815
2024-03-08,18597059.0,510.2396,514.19,505.95,523.57,499.35,344927,500.52799999999996,484.279
2024-03-11,20428274.0,484.8228,497.01,483.59,497.318,476.0,399014,497.608,485.053
2024-03-12,15448232.0,496.0547,493.26,499.75,502.31,484.73,297006,499.514,486.5955
2024-03-13,12090656.0,495.7539,495.39,495.57,500.98,491.0318,234797,499.41,488.36800000000005
2024-03-14,12620014.0,494.1371,500.255,491.83,501.35,488.16,231030,495.338,489.2955
2024-03-15,29153576.0,484.7962,489.01,484.1,491.83,481.3001,239989,490.968,489.299
2024-03-18,11755251.0,493.3952,491.91,496.98,497.42,486.81,219263,493.646,490.48199999999997
2024-03-19,10903092.0,491.5704,488.17,496.24,496.6296,481.28,197787,492.9440000000001,491.70649999999995
2024-03-20,11711100.0,501.8557,499.5,505.52,508.1999,495.17,198307,494.934,493.581
2024-03-21,9712549.0,509.0686,514.71,507.76,515.04,506.01,190237,498.12000000000006,494.6625
2024-03-22,8120593.0,507.783,507.0,509.58,509.97,504.34,153406,503.216,495.94000000000005
2024-03-25,8380617.0,504.2628,505.79,503.02,507.22,500.2411,168962,504.424,497.004
2024-03-26,11205382.0,503.0505,505.13,495.89,510.0,495.2137,199810,504.354,497.446
2024-03-27,9989676.0,492.5827,499.3,493.86,499.89,488.07,205829,502.02200000000005,497.938
2024-03-28,15212764.0,487.5029,492.84,485.58,492.89,485.15,253621,497.58599999999996,497.7105
2024-04-01,9247007.0,491.4861,487.2,491.35,497.43,481.78,196857,493.93999999999994,497.1629999999999
2024-04-02,11081026.0,492.5131,485.1,497.37,497.53,484.65,211493,492.81000000000006,497.122
2024-04-03,12099171.0,504.911,498.93,506.74,507.24,498.75,230137,494.98,497.948
