date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,389293300.0,49.5198,49.813,49.522,49.997,48.751,520969,,
2024-01-02,411254220.0,48.0662,49.244,48.168,49.295,47.595,680132,,
2024-01-03,320896170.0,47.6677,47.485,47.569,48.1841,47.32,493457,,
2024-01-04,306534890.0,48.0897,47.767,47.998,48.5,47.508,454827,,
2024-01-05,415039270.0,49.0195,48.462,49.097,49.547,48.306,556258,48.4708,
2024-01-08,642509900.0,51.3375,49.512,52.253,52.275,49.479,946945,49.017,
2024-01-09,773100060.0,53.1156,52.401,53.14,54.325,51.69,1005779,50.0114,
2024-01-10,533795760.0,54.1639,53.616,54.35,54.6,53.489,751758,51.367599999999996,
2024-01-11,596758770.0,54.5997,54.999,54.822,55.346,53.56,814182,52.7324,
2024-01-12,352993600.0,54.6707,54.62,54.71,54.97,54.3301,487145,53.855000000000004,
2024-01-16,449579730.0,56.1219,55.018,56.382,56.835,54.9,686944,54.6808,
2024-01-17,474394440.0,55.6716,56.347,56.053,56.4707,54.74,665715,55.263400000000004,
2024-01-18,491650360.0,57.0793,57.26,57.107,57.6,56.107,722052,55.814800000000005,
2024-01-19,543501480.0,58.5409,57.989,59.491,59.5,57.225,807789,56.748599999999996,
2024-01-22,452954630.0,59.7767,60.049,59.654,60.331,59.07,746833,57.7374,
2024-01-23,294654450.0,59.4725,59.57,59.873,59.91,58.585,506527,58.4356,
2024-01-24,560270760.0,61.7176,60.304,61.362,62.849,59.938,880163,59.497400000000006,
2024-01-25,482776840.0,61.9052,62.35,61.617,62.719,60.85,772973,60.3994,
2024-01-26,390308590.0,61.1516,60.96,61.031,61.783,60.573,606912,60.70739999999999,
2024-01-29,348732980.0,61.8645,61.232,62.465,62.489,60.907,565953,61.269600000000004,55.3332
2024-01-30,410735300.0,62.8595,62.9,62.774,63.493,62.26,660019,61.8498,55.99580000000001
2024-01-31,453794870.0,61.5108,61.44,61.527,62.269,60.7,701640,61.882799999999996,56.66374999999999
2024-02-01,369145790.0,62.4717,62.1,63.027,63.191,61.65,599646,62.1648,57.43665
2024-02-02,476577650.0,65.6028,63.974,66.16,66.6,63.69,813526,63.190599999999996,58.34475
2024-02-05,680078010.0,68.6607,68.225,69.332,69.497,67.205,1160230,64.564,59.3565
2024-02-06,683111360.0,67.8474,69.63,68.223,69.754,66.3,1223707,65.6538,60.154999999999994
2024-02-07,495574550.0,69.2666,68.319,70.099,70.22,67.6,839834,67.36819999999999,61.00295
2024-02-08,414422110.0,70.0906,70.074,69.641,70.794,69.455,717947,68.691,61.7675
2024-02-09,436636890.0,71.4565,70.533,72.133,72.185,70.212,773568,69.8856,62.63304999999999
2024-02-12,613710180.0,72.881,72.6,72.248,74.611,71.25,1078959,70.46880000000002,63.50995
2024-02-13,602580150.0,71.967,70.4,72.128,73.45,69.62,1062434,71.24980000000001,64.29724999999999
2024-02-14,504917420.0,73.2461,73.202,73.9,74.236,71.938,854412,72.01,65.1896
2024-02-15,420121810.0,73.0294,73.869,72.658,73.975,72.4,806555,72.6134,65.96714999999999
2024-02-16,495326620.0,73.4282,74.1,72.613,74.402,72.501,898213,72.7094,66.62325
2024-02-20,704833100.0,69.0538,71.947,69.452,71.956,67.734,1568244,72.1502,67.11314999999999
2024-02-21,690298130.0,68.351,68.006,67.472,68.888,66.248,1617873,71.219,67.4931
2024-02-22,865099740.0,77.2824,75.025,78.538,78.575,74.22,1827501,72.1466,68.3519
2024-02-23,829388370.0,79.8955,80.79,78.817,82.394,77.57,1644222,73.3784,69.2119
2024-02-26,503972730.0,79.5584,79.7,79.092,80.646,78.505,975739,74.6742,70.11495
2024-02-27,391705240.0,78.7656,79.381,78.701,79.48,77.162,758325,76.524,70.92675
2024-02-28,393110400.0,77.9578,77.62,77.663,78.933,77.125,737984,78.56219999999999,71.6712
2024-02-29,507288980.0,79.2564,79.094,79.112,79.99,78.35,764736,78.67699999999999,72.55045
2024-03-01,479135100.0,81.3682,80.0,82.279,82.3,79.435,975905,79.3694,73.51304999999999
2024-03-04,615616450.0,85.7211,84.13,85.237,87.695,83.719,1323065,80.5984,74.4669
2024-03-05,520639300.0,84.9834,85.27,85.964,86.097,83.417,1036771,82.05099999999999,75.2985
2024-03-06,582520300.0,88.4523,88.022,88.7,89.724,87.03,1116153,84.25840000000001,76.32235
2024-03-07,608119160.0,91.6171,90.158,92.669,92.767,89.602,1256063,86.96979999999999,77.45084999999999
2024-03-08,1142269060.0,91.0655,95.1379,87.528,97.4,86.506,2561403,88.0196,78.34519999999999
2024-03-11,678364120.0,86.6503,86.429,85.774,88.797,84.166,1494061,88.127,79.02725000000001
2024-03-12,668075150.0,89.7153,88.049,91.913,91.96,86.1501,1336881,89.3168,80.01050000000001
2024-03-13,635712890.0,89.9592,91.055,90.888,91.504,88.435,1295442,89.7544,80.9485
2024-03-14,602318160.0,88.0826,89.577,87.944,90.646,86.6,1249654,88.80940000000001,81.6507
2024-03-15,642086160.0,88.241,86.93,87.8365,89.546,86.257,1031106,88.8711,82.40962499999999
2024-03-18,668975930.0,89.3456,90.388,88.455,92.405,87.085,1373021,89.40729999999999,83.201725
2024-03-19,672171270.0,87.8605,86.7,89.398,90.544,85.01,1372136,88.9043,84.199025
2024-03-20,479062790.0,89.3828,89.797,90.372,90.41,88.223,952627,88.80109999999999,85.344025
2024-03-21,480372310.0,91.6443,92.3,91.435,92.648,90.405,1005134,89.4993,85.98887500000001
2024-03-22,586719360.0,93.5181,91.141,94.289,94.778,90.834,1161164,90.78979999999999,86.76247500000001
2024-03-25,552136080.0,95.4481,93.941,95.002,96.766,93.51,1113330,92.0992,87.557975
2024-03-26,513647580.0,94.4526,95.851,92.561,96.375,92.502,984594,92.73179999999999,88.250975
2024-03-27,586067230.0,90.3244,93.112,90.25,93.24,89.123,1189235,92.7074,88.880325
2024-03-28,435212270.0,90.5004,90.0,90.356,91.3,89.193,771056,92.49159999999999,89.442525
