date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,6899695.0,105.3776,106.6,105.43,106.918,104.78,74355,,
2024-01-02,9597500.0,103.7892,104.52,104.06,104.68,102.44,96837,,
2024-01-03,9455569.0,102.5114,103.3,102.46,103.38,101.74,93367,,
2024-01-04,6822299.0,102.7583,102.77,102.59,103.36,102.4,70675,,
2024-01-05,6133770.0,102.8631,102.53,102.73,103.72,102.29,59837,103.454,
2024-01-08,7038658.0,104.2035,102.94,104.66,104.77,102.13,80769,103.3,
2024-01-09,6725200.0,103.7062,103.85,103.63,104.48,103.29,77091,103.21399999999998,
2024-01-10,7270545.0,103.6908,103.09,103.92,104.07,102.72,75458,103.506,
2024-01-11,6118998.0,104.385,104.35,104.77,104.84,103.54,69837,103.94200000000001,
2024-01-12,9703848.0,106.1026,105.1,106.6,106.7,104.965,86072,104.71599999999998,
2024-01-16,7547241.0,106.2253,106.41,106.57,106.66,105.42,79351,105.098,
2024-01-17,7771460.0,106.3339,106.46,106.43,107.5,105.68,75744,105.65799999999999,
2024-01-18,10362279.0,108.2575,106.99,108.7,108.88,106.62,94776,106.61399999999999,
2024-01-19,11163772.0,109.6812,109.32,109.67,110.22,109.02,90433,107.59400000000001,
2024-01-22,7485307.0,110.1753,110.06,110.1,110.69,109.27,75108,108.29400000000001,
2024-01-23,9185921.0,111.5468,110.29,111.83,112.68,109.56,98697,109.346,
2024-01-24,11702698.0,114.6185,113.42,114.31,115.42,113.33,119114,110.922,
2024-01-25,8877205.0,115.1988,114.89,115.0,116.18,114.35,95387,112.18199999999999,
2024-01-26,5541900.0,114.864,114.64,114.64,115.48,114.2746,68039,113.176,
2024-01-29,7014424.0,113.6288,114.19,113.75,114.59,113.01,84441,113.90599999999999,107.5925
2024-01-30,8231882.0,113.8713,113.36,114.16,114.4,112.63,75938,114.372,108.029
2024-01-31,7386705.0,112.2682,113.81,111.7,114.27,111.67,80549,113.85,108.41099999999999
2024-02-01,7882168.0,115.0488,112.91,115.53,115.78,112.55,97601,113.95599999999999,109.0645
2024-02-02,6499594.0,115.8596,115.82,115.79,116.49,115.1575,78332,114.186,109.72449999999999
2024-02-05,8084508.0,116.1902,115.53,116.39,116.715,114.77,68183,114.71400000000001,110.40749999999998
2024-02-06,4639268.0,115.6517,116.74,115.3,116.95,114.98,58870,114.94200000000001,110.9395
2024-02-07,7672882.0,116.8733,115.8,117.27,117.59,115.3,78154,116.056,111.6215
2024-02-08,4472770.0,116.5684,117.09,116.68,117.7872,115.97,64409,116.28599999999999,112.2595
2024-02-09,5787142.0,116.6906,117.06,116.64,117.34,115.73,75720,116.45599999999999,112.85300000000002
2024-02-12,5439629.0,116.1812,116.26,115.84,117.1,115.38,69468,116.346,113.31499999999998
2024-02-13,8171722.0,113.5824,113.79,113.68,114.21,113.0,88849,116.022,113.67050000000002
2024-02-14,5946116.0,114.085,114.32,114.26,114.72,113.53,83441,115.42,114.06199999999998
2024-02-15,8455623.0,112.9803,114.25,112.78,114.31,112.57,88576,114.64000000000001,114.266
2024-02-16,8936016.0,111.8361,113.02,111.31,113.11,111.245,98199,113.574,114.348
2024-02-20,10975638.0,108.3863,110.54,108.45,110.765,107.68,132654,112.096,114.2655
2024-02-21,7867610.0,107.6979,106.76,108.16,108.375,106.51,89977,110.992,114.08200000000002
2024-02-22,8957789.0,110.6478,111.49,111.01,111.885,109.66,93954,110.34200000000001,113.917
2024-02-23,7504506.0,112.3168,112.0,111.95,113.37,111.71,90769,110.176,113.76450000000003
2024-02-26,6342943.0,111.4882,112.0,110.97,112.54,110.93,76874,110.10799999999999,113.58099999999999
2024-02-27,6593144.0,110.7535,110.62,111.38,111.51,109.79,77174,110.694,113.4625
2024-02-28,5278179.0,111.6338,111.26,111.68,112.02,111.1,69959,111.398,113.3385
2024-02-29,12193860.0,111.5619,111.68,111.68,112.4423,110.635,86858,111.53200000000001,113.3375
2024-03-01,7605145.0,113.348,111.68,113.78,113.94,111.52,90873,111.898,113.25
2024-03-04,6588062.0,114.0134,113.58,114.06,114.6,113.39,79158,112.516,113.1635
2024-03-05,8241978.0,111.1435,112.82,110.94,113.2,110.365,88592,112.428,112.891
2024-03-06,6706372.0,112.1507,111.5,112.27,113.05,110.67,78619,112.546,112.73949999999999
2024-03-07,7670135.0,113.958,113.94,114.54,114.8,112.29,81453,113.11800000000001,112.603
2024-03-08,8312943.0,112.69,114.07,112.42,114.33,111.54,107242,112.846,112.39000000000001
2024-03-11,20438335.0,118.091,111.61,114.13,114.75,111.18,222285,112.85999999999999,112.2645
2024-03-12,48536077.0,127.2893,126.26,127.54,129.37,124.6,444058,116.18000000000002,112.8495
2024-03-13,15870346.0,125.947,128.0,125.52,128.8,124.83,172568,118.83,113.44149999999999
2024-03-14,10965902.0,126.0372,127.23,125.53,127.8,124.94,127559,121.02799999999999,114.005
2024-03-15,17844884.0,125.2712,124.04,125.54,126.01,123.5586,124743,123.652,114.643
2024-03-18,12231423.0,127.8629,127.2,127.8,128.95,126.88,119745,126.38600000000001,115.4675
2024-03-19,10220950.0,128.4628,127.745,129.19,129.21,126.49,112366,126.71599999999998,116.50450000000001
