date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,37862.9333,34.4749,34.2,34.2,36.0,33.75,3041,,
2024-01-02,23804.6,35.9388,34.05,36.3,36.9,34.05,2889,,
2024-01-03,15445.8667,35.3704,36.15,35.7,36.3,34.275,2148,,
2024-01-04,10343.0,36.1247,35.85,36.15,36.9,34.95,1503,,
2024-01-05,10659.4667,35.9189,35.85,35.25,36.9,35.1,1436,35.519999999999996,
2024-01-08,7917.8667,34.4171,35.25,34.65,35.25,33.9,983,35.61,
2024-01-09,69430.9333,29.6858,32.55,28.5,33.75,28.35,4702,34.05,
2024-01-10,28054.8,27.7987,28.35,27.3,28.932,26.775,2541,32.370000000000005,
2024-01-11,24762.8667,26.8428,26.7,26.55,27.6,26.25,2209,30.45,
2024-01-12,53017.7333,25.8263,26.55,25.65,27.3,25.35,4503,28.53,
2024-01-16,52145.6667,23.7698,25.8,23.55,26.55,22.95,4329,26.310000000000002,
2024-01-17,20784.6667,23.3179,23.25,23.4,24.0,23.025,2060,25.29,
2024-01-18,17915.1333,23.1982,23.7,23.4,23.7,22.5,1895,24.509999999999998,
2024-01-19,13161.7333,23.1724,23.4,23.1,24.6,22.875,1782,23.82,
2024-01-22,13835.6,24.2197,23.4,24.0,24.735,22.8,1511,23.490000000000002,
2024-01-23,10017.7333,23.9382,24.15,23.25,25.0365,23.25,926,23.43,
2024-01-24,12281.3333,23.0664,23.25,22.95,23.7,22.65,1075,23.339999999999996,
2024-01-25,6556.2,23.5562,23.25,23.85,23.85,23.25,1012,23.43,
2024-01-26,10218.6667,24.6251,23.55,24.6,25.2,23.55,924,23.73,
2024-01-29,11681.5333,23.7126,25.05,24.3,25.05,22.8,1249,23.79,27.8325
2024-01-30,30395.3333,24.8037,23.85,24.6,25.5,23.7,1729,24.06,27.3525
2024-01-31,6902.6,24.6293,24.0,24.45,25.35,24.0,710,24.36,26.76
2024-02-01,19277.4667,23.6787,24.6,23.7,24.6,22.95,2073,24.330000000000002,26.160000000000004
2024-02-02,45219.1333,25.5458,24.15,25.5,26.85,23.25,2614,24.51,25.627499999999998
2024-02-05,18382.3333,24.2895,26.4,24.3,26.4,23.7,1656,24.509999999999998,25.08
2024-02-06,18599.8,25.1768,25.35,25.5,26.25,24.3,1471,24.69,24.6225
2024-02-07,292198.6,17.0301,22.5,15.45,22.8,14.25,11717,22.89,23.97
