date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,100891578.0,250.3555,255.1,248.48,255.19,247.43,1062988,,
2024-01-02,104654163.0,248.345,250.08,248.42,251.25,244.41,1177663,,
2024-01-03,121082599.0,239.8167,244.98,238.45,245.68,236.32,1273469,,
2024-01-04,102629283.0,240.2989,239.25,237.93,242.7,237.73,1001612,,
2024-01-05,92488939.0,237.8911,236.86,237.49,240.1196,234.9001,934668,242.154,
2024-01-08,85166580.0,238.5961,236.14,240.45,241.25,235.3,970812,240.548,
2024-01-09,96705664.0,234.7009,238.11,234.96,238.9646,232.04,1054999,237.856,
2024-01-10,91628502.0,233.4976,235.1,233.94,235.5,231.29,937259,236.954,
2024-01-11,105873612.0,227.6146,230.57,227.22,230.93,225.37,1265644,234.81199999999998,
2024-01-12,123043812.0,220.3828,220.08,218.89,225.34,217.1501,1419631,231.092,
2024-01-16,115355046.0,219.403,215.1,219.91,223.49,212.18,1357895,226.98399999999998,
2024-01-17,103164400.0,213.906,214.86,215.55,215.67,212.01,1161985,223.102,
2024-01-18,108595431.0,212.2762,216.88,211.88,217.45,208.74,1223038,218.69,
2024-01-19,102260343.0,210.3966,209.99,212.19,213.19,207.56,1122841,215.68399999999997,
2024-01-22,117952527.0,210.6795,212.26,208.8,217.8,206.27,1318218,213.66600000000003,
2024-01-23,106605946.0,210.5231,211.3,209.14,215.65,207.7516,1091194,211.512,
2024-01-24,123369932.0,208.6029,211.88,207.83,212.73,206.77,1478421,209.96800000000002,
2024-01-25,198133347.0,185.162,189.7,182.63,193.0,180.06,2719563,204.118,
2024-01-26,107343231.0,183.9806,185.5,183.25,186.78,182.1,1327754,198.32999999999998,
2024-01-29,125013148.0,188.0726,185.63,190.93,191.48,183.67,1435690,194.756,220.417
2024-01-30,109982327.0,192.7975,195.33,191.59,196.3593,190.61,1288184,191.246,217.57250000000005
2024-01-31,103221430.0,189.738,186.995,187.29,193.97,185.8459,1144880,187.138,214.51600000000002
2024-02-01,91843275.0,187.2996,188.5,188.86,189.88,184.28,1047610,188.38400000000001,212.03650000000002
2024-02-02,110612672.0,185.0738,185.04,187.91,188.69,182.0,1270925,189.316,209.5355
2024-02-05,134294447.0,179.9776,184.26,181.06,184.68,175.01,1633998,187.342,206.714
2024-02-06,122675954.0,183.3857,177.21,185.1,186.49,177.11,1204086,186.044,203.94650000000001
2024-02-07,111535217.0,187.173,188.18,187.58,189.79,182.68,1124191,186.10200000000003,201.57750000000001
2024-02-08,83034043.0,189.2636,189.0,189.56,191.6171,185.58,925084,186.24200000000002,199.3585
2024-02-09,84476347.0,192.5072,190.18,193.57,194.12,189.48,967370,187.374,197.676
2024-02-12,95498597.0,190.5543,192.11,188.13,194.73,187.28,1166265,188.788,196.13799999999998
2024-02-13,86759478.0,184.2019,183.99,184.02,187.26,182.1087,1089659,188.572,194.3435
2024-02-14,81202987.0,186.4091,185.3,188.71,188.89,183.35,924102,188.798,193.0015
2024-02-15,120831762.0,195.9923,189.16,200.45,200.88,188.8595,1314345,190.976,192.43
2024-02-16,111346705.0,200.3373,202.06,199.95,203.17,197.4,1249787,192.252,191.818
2024-02-20,104545762.0,192.5316,196.13,193.76,198.6,189.13,1220066,193.378,191.066
2024-02-21,103844008.0,194.8469,193.36,194.77,199.44,191.95,1059381,195.528,190.34750000000003
2024-02-22,92739461.0,195.1994,194.0,197.41,198.32,191.36,1017519,197.26799999999997,189.82649999999998
2024-02-23,78841917.0,193.9786,195.31,191.97,197.57,191.5,923289,195.572,190.2935
2024-02-26,111747116.0,198.855,192.29,199.4,201.78,192.0,1169827,195.462,191.101
2024-02-27,108645412.0,201.4719,204.04,199.73,205.6,198.26,1131569,196.656,191.541
2024-02-28,99806173.0,202.5349,200.42,202.04,205.3,198.44,1027322,198.10999999999999,192.0635
2024-02-29,85906974.0,201.4557,204.18,201.88,205.28,198.4463,943618,199.004,192.793
2024-03-01,82243119.0,201.584,200.52,202.64,204.52,198.5,952621,201.13799999999998,193.482
2024-03-04,134334869.0,190.507,198.73,188.14,199.75,186.72,1697687,198.886,193.4935
2024-03-05,119660758.0,180.7222,183.05,180.74,184.59,177.57,1561608,195.088,193.4775
2024-03-06,107920944.0,177.3458,179.99,176.54,181.576,173.7,1431861,189.988,193.0495
2024-03-07,102129004.0,177.7535,174.35,178.65,180.04,173.7,1139995,185.342,192.603
2024-03-08,85544644.0,177.1599,181.5,175.34,182.73,174.7,1126763,179.882,191.892
2024-03-11,85391528.0,178.9247,175.445,177.77,182.87,174.8,1122687,177.80800000000002,191.102
2024-03-12,87391684.0,176.5056,177.77,177.54,179.43,172.4101,1086087,177.168,190.57250000000002
2024-03-13,106524518.0,171.6156,173.05,169.48,176.05,169.15,1440821,175.756,189.84550000000002
2024-03-14,126325696.0,164.1654,167.77,162.5,171.17,160.51,1680192,172.526,188.53500000000003
2024-03-15,97146832.0,162.8944,163.16,163.57,165.1845,160.76,1107044,170.17199999999997,186.69099999999997
2024-03-18,108214358.0,171.7106,170.02,173.8,174.72,165.9,1321128,169.378,185.3835
2024-03-19,77271428.0,170.8852,172.36,171.32,172.82,167.42,937648,168.134,184.2615
2024-03-20,83846726.0,173.448,173.0,175.66,176.25,170.82,919879,169.36999999999998,183.30599999999998
2024-03-21,73178014.0,174.341,176.39,172.82,178.18,171.8,926379,171.434,182.07649999999998
2024-03-22,75580637.0,169.2665,166.69,170.83,171.2,166.3,943100,172.88600000000002,181.0195
2024-03-25,74228615.0,172.0334,168.76,172.63,175.24,168.73,901662,172.652,179.68099999999998
2024-03-26,113186227.0,180.6955,178.58,177.67,184.25,177.38,1309173,173.922,178.578
