date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,42672148.0,192.5761,193.9,192.53,194.4,191.725,509123,,
2024-01-02,82488674.0,185.9374,187.15,185.64,188.44,183.885,1008875,,
2024-01-03,58414460.0,184.3226,184.22,184.25,185.88,183.43,656853,,
2024-01-04,71983570.0,182.0175,182.15,181.91,183.0872,180.88,712693,,
2024-01-05,62379661.0,181.474,181.99,181.18,182.76,180.17,682335,185.102,
2024-01-08,59144470.0,184.3702,182.085,185.56,185.6,181.5,669173,183.708,
2024-01-09,42841809.0,184.3706,183.92,185.14,185.15,182.73,538180,183.608,
2024-01-10,46792908.0,185.2403,184.35,186.19,186.4,183.92,554778,183.996,
2024-01-11,49128408.0,185.0604,186.54,185.59,187.05,183.62,584008,184.732,
2024-01-12,40477782.0,185.8199,186.06,185.92,186.74,185.19,477050,185.68,
2024-01-16,65603041.0,182.8825,182.16,183.63,184.26,180.934,767284,185.29399999999998,
2024-01-17,47317433.0,181.9201,181.27,182.68,182.93,180.3,594632,184.802,
2024-01-18,78005754.0,187.9375,186.09,188.63,189.14,185.83,787235,185.29000000000002,
2024-01-19,68902985.0,190.6151,189.33,191.56,191.95,188.82,682664,186.48399999999998,
2024-01-22,60133852.0,193.9891,192.3,193.89,195.33,192.26,718108,188.078,
2024-01-23,42355590.0,194.8203,195.02,195.18,195.75,193.8299,533093,190.388,
2024-01-24,53631316.0,195.2063,195.42,194.5,196.38,194.34,594714,192.752,
2024-01-25,54822126.0,194.7337,195.22,194.17,196.2675,193.1125,644526,193.86,
2024-01-26,44594011.0,193.1206,194.27,192.42,194.76,191.94,534166,194.03199999999998,
2024-01-29,47145622.0,191.2954,192.01,191.73,192.2,189.58,599513,193.6,188.11499999999998
2024-01-30,55859370.0,188.7925,190.94,188.04,191.8,187.47,690707,192.17199999999997,187.89049999999997
2024-01-31,55467803.0,185.3525,187.04,184.4,187.095,184.35,679844,190.152,187.8285
2024-02-01,64885408.0,185.5688,183.985,186.86,186.95,183.82,820977,188.69,187.959
2024-02-02,102551680.0,184.7435,179.86,185.85,187.33,179.25,1108466,187.376,188.156
2024-02-05,69668820.0,187.6826,188.15,187.68,189.25,185.84,804749,186.56599999999997,188.481
2024-02-06,43490759.0,188.4788,186.86,189.3,189.31,186.7695,530825,186.818,188.66799999999998
2024-02-07,53438955.0,189.3803,190.64,189.41,191.05,188.61,596088,187.82,188.88150000000002
2024-02-08,40962046.0,188.3032,189.385,188.32,189.535,187.35,521464,188.11200000000002,188.988
2024-02-09,45155216.0,189.0056,188.65,188.85,189.99,188.0,544714,188.712,189.151
