date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,2864894.0,18.3926,18.5,18.38,18.53,18.32,16474,,
2024-01-02,8963591.0,18.1002,18.24,18.08,18.28,18.02,35866,,
2024-01-03,12408842.0,17.8772,17.56,18.04,18.055,17.55,54825,,
2024-01-04,6707666.0,18.0785,18.2,18.07,18.265,18.01,30632,,
2024-01-05,10479192.0,18.1415,18.25,18.1,18.32,18.065,43688,18.134,
2024-01-08,7538681.0,18.348,18.1,18.4,18.42,18.09,35992,18.137999999999998,
2024-01-09,6106070.0,18.2771,18.35,18.25,18.42,18.21,29360,18.172,
2024-01-10,13572592.0,18.1061,18.28,18.1,18.309,17.98,60090,18.184,
2024-01-11,17927269.0,18.834,18.64,18.82,19.14,18.63,84287,18.334,
2024-01-12,21182447.0,19.7898,19.41,19.6,20.06,19.41,81012,18.634,
2024-01-16,13409970.0,19.4062,19.39,19.47,19.57,19.21,67367,18.848000000000003,
2024-01-17,11273127.0,19.5746,19.56,19.54,19.71,19.465,49238,19.106,
2024-01-18,9891790.0,19.7906,19.82,19.83,19.96,19.65,46535,19.451999999999998,
2024-01-19,7921191.0,19.9314,19.8,19.99,20.03,19.73,34574,19.686,
2024-01-22,5823281.0,19.8932,19.93,19.87,20.0,19.84,29262,19.74,
2024-01-23,8985054.0,19.8263,19.7,19.79,19.955,19.61,39841,19.804,
2024-01-24,10476188.0,20.0571,20.095,19.99,20.18,19.96,46911,19.894,
2024-01-25,7290461.0,20.0657,19.995,20.09,20.16,19.86,38961,19.946,
2024-01-26,5696261.0,20.2116,20.16,20.22,20.37,20.12,30533,19.992,
2024-01-29,5283916.0,20.1273,20.15,20.17,20.17,20.065,25174,20.052,19.14
2024-01-30,6409735.0,19.9578,20.03,19.95,20.07,19.8632,28046,20.083999999999996,19.2185
2024-01-31,6594346.0,19.9965,20.04,19.86,20.15,19.845,29876,20.058,19.3075
2024-02-01,8251384.0,20.106,19.86,20.19,20.22,19.83,29445,20.078,19.415
